Driver Step Detail ID	Audit ID	Driver Step ID	APP Name	Run Name	Group Number	Run Order Number	Run Status Code	Error Process Number	SESSION START DATE TIME	SESSION END DATE TIME	Run Start Date Time	Run End Date Time	Create Date Time	Last Modified Date Time
16706110207	998109	1589120073	EDW	O_2_D_LIFE_APTX_ALPHA_NRT	600	20	S	2	?	?	2016-08-31 13:59:31.840000	2016-08-31 13:59:32.770000	2016-08-31 13:31:13.810000	2016-08-31 13:31:13.810000
16706110208	998109	1589120074	EDW	O_2_D_LIFE_APTX_ALPHA_NRT	600	25	S	2	?	?	2016-08-31 13:59:34.360000	2016-08-31 14:01:00.520000	2016-08-31 13:31:13.810000	2016-08-31 13:31:13.810000
16706110209	998109	1589120075	EDW	O_2_D_LIFE_APTX_ALPHA_NRT	600	30	S	2	?	?	2016-08-31 14:01:02.130000	2016-08-31 14:01:04.130000	2016-08-31 13:31:13.810000	2016-08-31 13:31:13.810000
16706110210	998109	1589120076	EDW	O_2_D_LIFE_APTX_ALPHA_NRT	600	35	S	2	?	?	2016-08-31 14:01:06.080000	2016-08-31 14:02:15.160000	2016-08-31 13:31:13.810000	2016-08-31 13:31:13.810000
16706110211	998109	1589120077	EDW	O_2_D_LIFE_APTX_ALPHA_NRT	600	40	S	2	?	?	2016-08-31 14:02:16.900000	2016-08-31 14:02:20.280000	2016-08-31 13:31:13.810000	2016-08-31 13:31:13.810000
16706110212	998109	1589120078	EDW	O_2_D_LIFE_APTX_ALPHA_NRT	600	45	S	2	?	?	2016-08-31 14:02:21.960000	2016-08-31 14:06:05.680000	2016-08-31 13:31:13.810000	2016-08-31 13:31:13.810000
16706110213	998109	1589120079	EDW	O_2_D_LIFE_APTX_ALPHA_NRT	600	50	S	2	?	?	2016-08-31 14:06:07.220000	2016-08-31 14:06:09.000000	2016-08-31 13:31:13.810000	2016-08-31 13:31:13.810000
16706110214	998109	1589120080	EDW	O_2_D_LIFE_APTX_ALPHA_NRT	600	55	S	2	?	?	2016-08-31 14:06:10.590000	2016-08-31 14:06:23.520000	2016-08-31 13:31:13.810000	2016-08-31 13:31:13.810000
16706110215	998109	1589120081	EDW	O_2_D_LIFE_APTX_ALPHA_NRT	600	60	S	2	?	?	2016-08-31 14:06:25.310000	2016-08-31 14:06:36.920000	2016-08-31 13:31:13.810000	2016-08-31 13:31:13.810000
16706110216	998109	1589120082	EDW	O_2_D_LIFE_APTX_ALPHA_NRT	600	65	S	2	?	?	2016-08-31 14:06:38.580000	2016-08-31 14:06:48.050000	2016-08-31 13:31:13.810000	2016-08-31 13:31:13.810000
16706110277	998109	1623720014	EDW	O_2_D_LIFE_APTX_ALPHA_NRT	600	66	S	2	?	?	2016-08-31 14:06:49.660000	2016-08-31 14:06:53.790000	2016-08-31 13:31:13.810000	2016-08-31 13:31:13.810000
16706110217	998109	1589120083	EDW	O_2_D_LIFE_APTX_ALPHA_NRT	600	70	S	2	?	?	2016-08-31 14:06:55.670000	2016-08-31 14:08:35.910000	2016-08-31 13:31:13.810000	2016-08-31 13:31:13.810000
16706110218	998109	1589120084	EDW	O_2_D_LIFE_APTX_ALPHA_NRT	600	75	S	2	?	?	2016-08-31 14:08:37.660000	2016-08-31 14:08:43.020000	2016-08-31 13:31:13.810000	2016-08-31 13:31:13.810000
16706110219	998109	1589120085	EDW	O_2_D_LIFE_APTX_ALPHA_NRT	600	80	S	2	?	?	2016-08-31 14:08:45.150000	2016-08-31 14:09:20.680000	2016-08-31 13:31:13.810000	2016-08-31 13:31:13.810000
16706110220	998109	1589120087	EDW	O_2_D_LIFE_APTX_ALPHA_NRT	700	5	S	2	?	?	2016-08-31 13:58:14.500000	2016-08-31 13:58:33.530000	2016-08-31 13:31:13.810000	2016-08-31 13:31:13.810000
16706110221	998109	1589120088	EDW	O_2_D_LIFE_APTX_ALPHA_NRT	700	10	S	2	?	?	2016-08-31 13:58:35.430000	2016-08-31 13:59:01.550000	2016-08-31 13:31:13.810000	2016-08-31 13:31:13.810000
16706110222	998109	1589120089	EDW	O_2_D_LIFE_APTX_ALPHA_NRT	700	15	S	2	?	?	2016-08-31 13:59:03.080000	2016-08-31 13:59:14.300000	2016-08-31 13:31:13.810000	2016-08-31 13:31:13.810000
16706110223	998109	1589120090	EDW	O_2_D_LIFE_APTX_ALPHA_NRT	700	20	S	2	?	?	2016-08-31 13:59:15.940000	2016-08-31 13:59:27.580000	2016-08-31 13:31:13.810000	2016-08-31 13:31:13.810000
16706110224	998109	1589120091	EDW	O_2_D_LIFE_APTX_ALPHA_NRT	700	25	S	2	?	?	2016-08-31 13:59:29.270000	2016-08-31 13:59:48.330000	2016-08-31 13:31:13.810000	2016-08-31 13:31:13.810000
16706110225	998109	1589120092	EDW	O_2_D_LIFE_APTX_ALPHA_NRT	700	30	S	2	?	?	2016-08-31 13:59:50.330000	2016-08-31 14:00:02.420000	2016-08-31 13:31:13.810000	2016-08-31 13:31:13.810000
16706110226	998109	1589120093	EDW	O_2_D_LIFE_APTX_ALPHA_NRT	700	35	S	2	?	?	2016-08-31 14:00:04.240000	2016-08-31 14:01:05.770000	2016-08-31 13:31:13.810000	2016-08-31 13:31:13.810000
16706110227	998109	1589120094	EDW	O_2_D_LIFE_APTX_ALPHA_NRT	700	40	S	2	?	?	2016-08-31 14:01:07.460000	2016-08-31 14:02:34.740000	2016-08-31 13:31:13.810000	2016-08-31 13:31:13.810000
16706110228	998109	1589120095	EDW	O_2_D_LIFE_APTX_ALPHA_NRT	700	45	S	2	?	?	2016-08-31 14:02:36.810000	2016-08-31 14:02:49.130000	2016-08-31 13:31:13.810000	2016-08-31 13:31:13.810000
16706110229	998109	1589120096	EDW	O_2_D_LIFE_APTX_ALPHA_NRT	700	50	S	2	?	?	2016-08-31 14:02:51.180000	2016-08-31 14:03:03.150000	2016-08-31 13:31:13.810000	2016-08-31 13:31:13.810000
16706110230	998109	1589120097	EDW	O_2_D_LIFE_APTX_ALPHA_NRT	700	55	S	2	?	?	2016-08-31 14:03:04.890000	2016-08-31 14:03:22.860000	2016-08-31 13:31:13.810000	2016-08-31 13:31:13.810000
16706110231	998109	1589120098	EDW	O_2_D_LIFE_APTX_ALPHA_NRT	700	60	S	2	?	?	2016-08-31 14:03:24.560000	2016-08-31 14:03:36.330000	2016-08-31 13:31:13.810000	2016-08-31 13:31:13.810000
16706110278	998109	1623720015	EDW	O_2_D_LIFE_APTX_ALPHA_NRT	800	6	S	2	?	?	2016-08-31 13:58:18.070000	2016-08-31 13:58:40.250000	2016-08-31 13:31:13.810000	2016-08-31 13:31:13.810000
